Title,Artist,Creation_Date,estimate_year,url,img_URL,Medium,height_cm,width_cm,Accession_number
Barra,Samuel John Peploe,c.1902–1903,1902,https://artuk.org/discover/artworks/barra-85636/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_3039-001.jpg,oil on panel,18.7,24.1,3039
Old Tom Morris,Samuel John Peploe,c.1901,1901,https://artuk.org/discover/artworks/old-tom-morris-85642/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_3313-001.jpg,oil on canvas,127.0,101.6,3313
Roses,Samuel John Peploe,,,https://artuk.org/discover/artworks/roses-56618/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/NTV/MM/NTV_MM_228-001.jpg,oil on board,44.0,39.0,MIDMA_FA_1029
Roses,Samuel John Peploe,c.1920,1920,https://artuk.org/discover/artworks/roses-85635/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_2810-001.jpg,oil on canvas,50.8,40.6,2810
Landscape,Samuel John Peploe,,,https://artuk.org/discover/artworks/landscape-85627/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_2338-001.jpg,oil on canvas,33.0,40.6,2338
Still Life with Tulips,Samuel John Peploe,c.1920–1930,1925,https://artuk.org/discover/artworks/still-life-with-tulips-85643/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_3319-001.jpg,oil on canvas,54.5,45.5,3319
"Still Life, White Roses",Samuel John Peploe,c.1925,1925,https://artuk.org/discover/artworks/still-life-white-roses-85630/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_2414-001.jpg,oil on canvas,45.7,40.6,2414
"The Cornfield, Douglas Hall",Samuel John Peploe,1919,1919,https://artuk.org/discover/artworks/the-cornfield-douglas-hall-85632/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_2416-001.jpg,oil on panel,33.0,39.4,2416
The Brown Crock,Samuel John Peploe,c.1925,1925,https://artuk.org/discover/artworks/the-brown-crock-85629/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_2413-001.jpg,oil on canvas,61.0,50.8,2413
"Still Life, Red Roses",Samuel John Peploe,c.1931,1931,https://artuk.org/discover/artworks/still-life-red-roses-85625/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_1824-001.jpg,oil on canvas,55.9,50.8,1824
