R,G,B,freqency,id
-125,-104,-79,0.3023075396825397,0
-69,-62,-66,0.24615079365079365,0
-116,-104,-101,0.15648809523809523,0
112,-106,-105,0.09312698412698413,0
69,101,125,0.06491071428571428,0
86,99,105,0.03326587301587301,0
28,53,73,0.03325,0
66,108,111,0.02782738095238095,0
-100,-68,-72,0.022351190476190476,0
27,65,68,0.012672619047619047,0
62,106,119,0.007648809523809524,0
23,16,10,0.5927089160242854,1
39,32,25,0.21897264479159562,1
46,34,18,0.1013902721877345,1
36,23,6,0.02039702571798895,1
-126,82,55,0.015234327034586262,1
111,90,66,0.014022784637424108,1
-61,127,85,0.011968074220615322,1
72,39,22,0.00763490006139573,1
-74,123,90,0.007168292516542738,1
39,16,11,0.006447915956067945,1
-110,89,50,0.004054846851763422,1
-49,-53,-46,0.2852031738522297,2
40,41,49,0.10717536407766991,2
38,50,76,0.10375699358235972,2
-126,-107,-77,0.09595220709231529,2
76,92,126,0.07911361485930558,2
-80,-70,-46,0.04715654311337831,2
114,80,92,0.03527645219680763,2
-82,-121,-109,0.02268928953430969,2
97,84,121,0.020840618314958037,2
-26,-65,-55,0.01962445491196314,2
18,23,41,0.018425004113871976,2
21,105,119,0.01785420437715978,2
-40,119,-109,0.01731168751028468,2
77,46,57,0.016353926690801383,2
-19,-28,-26,0.016204798831660358,2
56,47,82,0.015202042537436235,2
11,109,109,0.013619487411551752,2
55,91,-112,0.010418380779990126,2
75,-103,-87,0.01010984038176732,2
-118,-65,-66,0.009231785831824914,2
-124,75,66,0.008334447506993583,2
105,-87,-88,0.007982197219022545,2
24,60,110,0.007705796445614612,2
-108,-126,-92,0.005941973835774231,2
89,42,31,0.004441696149415831,2
33,46,99,0.004074018841533651,2
-40,-46,-47,0.43747052217855137,3
-22,-27,-33,0.07820044918585065,3
-80,36,35,0.05880965749578888,3
-109,-105,-98,0.04764177428411005,3
44,43,49,0.04724592925322852,3
75,32,40,0.03422796181920269,3
-30,-48,-74,0.03177428411005053,3
23,19,21,0.028686131386861314,3
-108,47,50,0.027801796743402583,3
92,94,101,0.021883773161145426,3
116,31,36,0.016600224592925324,3
40,50,75,0.01602189781021898,3
79,94,121,0.015842223469960698,3
-121,-108,-82,0.015058955642897248,3
82,30,28,0.01388265019651881,3
107,35,53,0.013040426726558113,3
-92,49,35,0.012128017967434027,3
-80,-123,-115,0.011106120157215047,3
125,78,88,0.010572711959573274,3
-117,60,79,0.009820325659741717,3
-64,123,74,0.009562043795620439,3
-82,41,51,0.008225715889949466,3
-80,-70,-45,0.007178551375631667,3
117,-103,-116,0.006799550814149354,3
-37,-71,-66,0.005513756316676025,3
-35,118,50,0.005210555867490174,3
-40,110,61,0.005199326221224031,3
41,14,20,0.004494665918023583,3
-66,-66,-70,0.2449944933920705,4
-106,-98,-94,0.08050477239353891,4
19,47,72,0.08010095447870778,4
30,96,83,0.07344897209985315,4
10,65,58,0.06868575624082232,4
-53,-68,-95,0.052090675477239355,4
13,112,88,0.05173825256975037,4
92,-96,71,0.05107929515418502,4
5,20,42,0.04856093979441997,4
67,97,124,0.04723384728340675,4
119,-108,-86,0.033577459618208516,4
124,-98,109,0.029434654919236417,4
25,116,73,0.027252202643171807,4
-124,-86,94,0.018619676945668136,4
76,-103,97,0.016380323054331864,4
8,66,79,0.015435022026431718,4
-91,-102,125,0.015389133627019089,4
103,-107,-117,0.01124632892804699,4
66,108,72,0.010451541850220264,4
39,96,111,0.009564977973568282,4
103,-103,-83,0.00802129221732746,4
52,-114,115,0.006189427312775331,4
53,45,41,0.25415553162352256,5
-108,-108,-108,0.13225905096193477,5
23,19,19,0.09403693510430378,5
66,52,35,0.08299363142010024,5
96,91,86,0.07242896839642084,5
102,85,64,0.05923444085463949,5
-33,-50,-126,0.04847566245196974,5
122,-103,117,0.03892146304495234,5
-62,-65,-70,0.03195724143432651,5
-86,-60,-97,0.02709106138566471,5
-104,-113,113,0.01699706167816734,5
80,110,76,0.0159679842580405,5
30,43,64,0.015933415765891534,5
-50,-59,-97,0.014500152899099889,5
-100,68,75,0.014146490633268186,5
71,39,42,0.012234587105952429,5
-119,85,65,0.01201653969393589,5
-80,-126,-115,0.008889420711845026,5
78,105,88,0.008634145692898833,5
-74,123,112,0.008299097230531956,5
-78,-99,90,0.008240596705356786,5
121,-107,127,0.0063366705223830986,5
-12,-25,-97,0.0063366705223830986,5
14,21,40,0.0054830946777817665,5
122,82,88,0.004430085224628721,5
35,43,68,0.17437091817134076,6
-17,-16,-18,0.15372166730695352,6
7,11,18,0.1257851517479831,6
-46,-48,-47,0.12225316941990011,6
14,19,39,0.09530589704187475,6
78,-103,115,0.04900595466769113,6
75,84,112,0.04425182481751825,6
55,105,89,0.03983144448713023,6
